着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,推定,馬体重,前走比,調教師,単勝人気
14,2,3,ムスカテール,牡8,57,中谷雄太,02:34.9,１／２馬身,37.1,492,2,友道康夫,16
15,4,7,マルターズアポジー,牡4,57,武士沢友治,02:35.0,１／２馬身,38.3,536,8,堀井雅広,12
16,3,5,サムソンズプライド,牡6,57,横山典弘,02:35.6,3.5,38,484,0,杉浦宏昭,14
1,4,7,ゴールドアクター,牡4,57,吉田隼人,02:33.0,,34.8,494,4,中川公成,8
2,5,9,サウンズオブアース,牡4,57,Ｍ．デムーロ,02:33.0,クビ,34.7,502,0,藤岡健一,5
3,6,11,キタサンブラック,牡3,55,横山典弘,02:33.1,３／４馬身,35.1,526,-4,清水久詞,4
4,8,16,マリアライト,牝4,55,蛯名正義,02:33.1,アタマ,35,434,4,久保田貴士,12
5,2,4,ラブリーデイ,牡5,57,川田将雅,02:33.2,１／２馬身,34.7,488,2,池江泰寿,2
6,5,10,トーセンレーヴ,牡7,57,Ｈ．ボウマン,02:33.3,クビ,34.4,480,2,池江泰寿,14
7,3,5,アドマイヤデウス,牡4,57,岩田康誠,02:33.3,ハナ,34.9,484,4,橋田満,11
8,8,15,ゴールドシップ,牡6,57,内田博幸,02:33.3,クビ,35.2,508,-2,須貝尚介,1
9,4,8,ワンアンドオンリー,牡4,57,浜中俊,02:33.5,1,34.8,498,0,橋口弘次郎,10
10,7,13,ルージュバック,牝3,53,戸崎圭太,02:33.5,クビ,35,458,6,大竹正博,6
11,3,6,アルバート,牡4,57,Ａ．アッゼニ,02:33.6,クビ,34.9,466,0,堀宣行,7
12,2,3,ラストインパクト,牡5,57,菱田裕二,02:33.6,クビ,35,496,2,松田博資,9
13,1,2,ヒットザターゲット,牡7,57,小牧太,02:33.7,１／２馬身,35.1,516,2,加藤敬二,13
14,7,14,ダービーフィズ,牡5,57,大野拓弥,02:33.9,1.25,35.2,462,-6,小島太,16
15,1,1,オーシャンブルー,牡7,57,石川裕紀人,02:35.4,9,36.4,446,2,池江泰寿,15
16,6,12,リアファル,牡3,55,Ｃ．ルメール,02:35.5,クビ,37.4,506,0,音無秀孝,3
1,2,4,ジェンティルドンナ,牝5,55,戸崎圭太,02:35.3,,34.1,470,-2,石坂正,4
2,3,6,トゥザワールド,牡3,55,Ｗ．ビュイック,02:35.4,３／４馬身,33.8,524,4,池江泰寿,9
3,7,14,ゴールドシップ,牡5,57,岩田康誠,02:35.4,ハナ,33.9,510,前計不,須貝尚介,1
4,8,15,ジャスタウェイ,牡5,57,福永祐一,02:35.5,クビ,33.4,504,6,須貝尚介,3
5,7,13,エピファネイア,牡4,57,川田将雅,02:35.5,ハナ,34.6,494,2,角居勝彦,2
6,3,5,ラキシス,牝4,55,Ｃ．デムーロ,02:35.5,アタマ,34.1,458,0,角居勝彦,11
7,4,7,ラストインパクト,牡4,57,菱田裕二,02:35.5,クビ,33.7,484,-2,松田博資,7
8,1,1,トーセンラー,牡6,57,武豊,02:35.7,1,34.4,462,-4,藤原英昭,8
9,6,12,デニムアンドルビー,牝4,55,浜中俊,02:35.7,クビ,33.9,448,6,角居勝彦,16
10,5,10,フェノーメノ,牡5,57,田辺裕信,02:35.7,アタマ,34.2,502,8,戸田博文,6
11,6,11,サトノノブレス,牡4,57,池添謙一,02:35.9,1.5,33.6,512,4,池江泰寿,13
12,5,9,ウインバリアシオン,牡6,57,藤岡康太,02:35.9,ハナ,34.1,530,-4,松永昌博,10
13,2,3,ワンアンドオンリー,牡3,55,横山典弘,02:36.0,１／２馬身,34.4,492,4,橋口弘次郎,5
14,1,2,ヴィルシーナ,牝5,55,内田博幸,02:36.1,クビ,35.4,458,4,友道康夫,12
15,4,8,メイショウマンボ,牝4,55,武幸四郎,02:36.4,2,33.9,486,-4,飯田祐史,14
16,8,16,オーシャンブルー,牡6,57,蛯名正義,02:36.4,ハナ,34.2,432,-4,池江泰寿,15
1,3,6,オルフェーヴル,牡5,57,池添謙一,02:32.3,,36,466,前計不,池江泰寿,1
2,2,4,ウインバリアシオン,牡5,57,岩田康誠,02:33.6,8,37.3,534,-4,松永昌博,4
3,7,14,ゴールドシップ,牡4,57,Ｒ．ムーア,02:33.8,1.5,37.8,498,-2,須貝尚介,2
4,6,11,ラブイズブーシェ,牡4,57,武豊,02:34.2,2.5,37.6,456,6,村山明,12
5,4,7,タマモベストプレイ,牡3,55,和田竜二,02:34.3,クビ,38.3,496,-6,南井克巳,16
6,2,3,カレンミロティック,せん5,57,戸崎圭太,02:34.3,アタマ,38.7,450,-10,平田修,6
7,3,5,デスペラード,牡5,57,横山典弘,02:34.3,ハナ,38.1,478,4,安達昭夫,7
8,7,13,トゥザグローリー,牡6,57,Ｃ．ルメール,02:34.7,2.5,38.6,530,-4,池江泰寿,13
9,6,12,テイエムイナズマ,牡3,55,Ｍ．デムーロ,02:34.9,1.25,37.7,508,6,福島信晴,15
10,1,2,ヴェルデグリーン,牡5,57,田辺裕信,02:34.9,クビ,38.4,480,4,相沢郁,8
11,5,10,アドマイヤラクティ,牡5,57,Ｃ．ウィリアムズ,02:35.3,2.5,39.4,490,6,梅田智之,3
12,4,8,ラブリーデイ,牡3,55,蛯名正義,02:35.5,1.25,39.7,476,-4,池江泰寿,14
13,8,15,ナカヤマナイト,牡5,57,柴田善臣,02:35.7,1.5,40,498,4,二ノ宮敬宇,10
14,8,16,トーセンジョーダン,牡7,57,内田博幸,02:35.8,１／２馬身,39.9,482,2,池江泰寿,5
15,1,1,ダノンバラード,牡5,57,川田将雅,02:37.0,7,41.2,480,-4,池江泰寿,9
16,5,9,ルルーシュ,牡5,57,福永祐一,02:42.8,大差,47,512,8,藤沢和雄,11
1,7,13,ゴールドシップ,牡3,55,内田博幸,02:31.9,,34.9,506,6,須貝尚介,1
2,3,6,オーシャンブルー,牡4,57,Ｃ．ルメール,02:32.1,1.5,35.3,438,2,池江泰寿,10
3,5,9,ルーラーシップ,牡5,57,Ｃ．ウィリアムズ,02:32.2,クビ,35.2,512,6,角居勝彦,2
4,1,2,エイシンフラッシュ,牡5,57,三浦皇成,02:32.4,1.5,35.8,488,0,藤原英昭,3
5,2,3,スカイディグニティ,牡3,55,Ｃ．スミヨン,02:32.5,１／２馬身,36,480,-6,友道康夫,7
6,5,10,ダークシャドウ,牡5,57,Ｒ．ムーア,02:32.5,ハナ,35.9,514,2,堀宣行,4
7,8,15,ナカヤマナイト,牡4,57,柴田善臣,02:33.0,3,36.2,490,6,二ノ宮敬宇,5
8,8,16,ルルーシュ,牡4,57,横山典弘,02:33.4,2.5,37.1,514,12,藤沢和雄,6
9,7,14,ビートブラック,牡5,57,石橋脩,02:33.4,アタマ,37.4,522,8,中村均,8
10,4,7,ダイワファルコン,牡5,57,北村宏司,02:33.5,３／４馬身,37.1,514,8,上原博之,12
11,2,4,アーネストリー,牡7,57,福永祐一,02:33.5,アタマ,37.6,530,-4,佐々木晶三,14
12,1,1,ローズキングダム,牡5,57,岩田康誠,02:33.6,１／２馬身,37.2,460,6,橋口弘次郎,13
13,4,8,トレイルブレイザー,牡5,57,武豊,02:34.2,3.5,37.3,498,前計不,池江泰寿,9
14,6,12,オウケンブルースリ,牡7,57,田辺裕信,02:34.4,1.5,37.5,486,2,音無秀孝,15
15,3,5,ネヴァブション,牡9,57,田中勝春,02:34.5,３／４馬身,37.4,488,8,伊藤正徳,16
16,6,11,トゥザグローリー,牡5,57,蛯名正義,02:36.1,10,39.5,534,-4,池江泰寿,11
1,6,9,オルフェーヴル,牡3,55,池添謙一,02:36.0,,33.3,462,-4,池江泰寿,1
2,4,5,エイシンフラッシュ,牡4,57,Ｃ．ルメール,02:36.1,３／４馬身,33.6,488,-4,藤原英昭,7
3,5,7,トゥザグローリー,牡4,57,福永祐一,02:36.1,クビ,33.3,536,12,池江泰寿,9
4,8,14,ルーラーシップ,牡4,57,Ｉ．メンディザバル,02:36.2,３／４馬身,33.2,504,6,角居勝彦,11
5,6,10,トーセンジョーダン,牡5,57,Ｃ．ウィリアムズ,02:36.3,クビ,33.9,482,4,池江泰寿,3
6,3,3,ヒルノダムール,牡4,57,藤田伸二,02:36.4,３／４馬身,33.7,466,前計不,昆貢,8
7,1,1,ブエナビスタ,牝5,55,岩田康誠,02:36.5,３／４馬身,34.1,470,6,松田博資,2
8,2,2,ヴィクトワールピサ,牡4,57,Ｍ．デムーロ,02:36.5,ハナ,34.3,520,12,角居勝彦,4
9,8,13,レッドデイヴィス,せん3,55,武豊,02:36.5,クビ,34.1,484,2,音無秀孝,6
10,7,12,アーネストリー,牡6,57,佐藤哲三,02:36.6,クビ,34.6,534,4,佐々木晶三,5
11,7,11,ジャガーメイル,牡7,57,四位洋文,02:36.8,1.5,34.2,484,0,堀宣行,12
12,5,8,ローズキングダム,牡4,57,後藤浩輝,02:37.1,2,34,454,-8,橋口弘次郎,10
13,4,6,キングトップガン,牡8,57,柴田善臣,02:37.4,1.75,34.5,506,-2,鮫島一歩,13
取消,3,4,ペルーサ,牡4,57,安藤勝己,,,,,,藤沢和雄,
